Facility Name,CMS Certification Number (CCN),City,Total Performance Score,PY2020 Payment Reduction Percentage,"Ownership as of December 31, 2018"
FMC - HOME DIALYSIS NETWORK INC.,142694,JOLIET,72,0.00%,FRESENIUS MEDICAL CARE
FMC - STREATOR,142695,STREATOR,75,0.00%,FRESENIUS MEDICAL CARE
DAVITA - HARVEY DIALYSIS,142698,HARVEY,50,0.50%,DAVITA
AFFILIATED HOME DIALYSIS OF ELK GROVE,142699,ELK GROVE VILLAGE,31,1.50%,NOT A CHAIN
"FMC - SANDWICH DIALYSIS, LLC",142700,SANDWICH,81,0.00%,FRESENIUS MEDICAL CARE
DAVITA - EDWARDSVILLE DIALYSIS,142701,EDWARDSVILLE,74,0.00%,DAVITA
FMC - WEST CHICAGO DIALYSIS CENTER,142702,WEST CHICAGO,87,0.00%,FRESENIUS MEDICAL CARE
FMC - QUAD CITIES,142703,ROCK ISLAND,43,1.00%,FRESENIUS MEDICAL CARE
FMC - OF METROPOLIS,142705,METROPOLIS,70,0.00%,FRESENIUS MEDICAL CARE
FMC - PLAINFIELD,142707,PLAINFIELD,68,0.00%,FRESENIUS MEDICAL CARE
DAVITA - PITTSFIELD DIALYSIS,142708,PITTSFIELD,84,0.00%,DAVITA
YORKVILLE DIALYSIS CENTER LLC,142709,YORKVILLE,71,0.00%,NOT A CHAIN
FMC - DEERFIELD DIALYSIS CENTER,142710,DEERFIELD,62,0.00%,FRESENIUS MEDICAL CARE
DAVITA - ADAMS COUNTY DIALYSIS,142711,QUINCY,61,0.00%,DAVITA
DAVITA - BIG OAKS DIALYSIS,142712,NILES,74,0.00%,DAVITA
FMC - MIDWAY DIALYSIS,142713,CHICAGO,59,0.00%,FRESENIUS MEDICAL CARE
DAVITA - ROBINSON DIALYSIS,142714,ROBINSON,84,0.00%,DAVITA
DAVITA - COBBLESTONE DIALYSIS,142715,ELGIN,60,0.00%,DAVITA
DAVITA - CRYSTAL SPRINGS DIALYSIS,142716,CRYSTAL LAKE,60,0.00%,DAVITA
DAVITA - KENWOOD DIALYSIS,142717,CHICAGO,56,0.50%,DAVITA
DAVITA - STONY ISLAND DIALYSIS,142718,CHICAGO,60,0.00%,DAVITA
DAVITA - WEST LAWN DIALYSIS,142719,CHICAGO,66,0.00%,DAVITA
DAVITA - KENWOOD PD,142720,CHICAGO,47,1.00%,DAVITA
DAVITA - WOODLAWN DIALYSIS,142721,CHICAGO,64,0.00%,DAVITA
FMC - LOMBARD DIALYSIS,142722,LOMBARD,71,0.00%,FRESENIUS MEDICAL CARE
FMC - PALATINE DIALYSIS CENTER,142723,PALATINE,67,0.00%,FRESENIUS MEDICAL CARE
LAKEVIEW HOME DIALYSIS,142724,CHICAGO,46,1.00%,NOT A CHAIN
FMC - STEGER DIALYSIS,142725,STEGER,68,0.00%,FRESENIUS MEDICAL CARE
FMC - OF ELGIN,142726,ELGIN,71,0.00%,FRESENIUS MEDICAL CARE
FMC - WAUKEGAN HARBOR,142727,WAUKEGAN,69,0.00%,FRESENIUS MEDICAL CARE
DAVITA - GRAND CROSSING DIALYSIS,142728,CHICAGO,44,1.00%,DAVITA
FMC - WEST BATAVIA,142729,BATAVIA,59,0.00%,FRESENIUS MEDICAL CARE
FMC - WEST WILLOW,142730,CHICAGO,63,0.00%,FRESENIUS MEDICAL CARE
FMC - MUNDELEIN,142731,MUNDELEIN,91,0.00%,FRESENIUS MEDICAL CARE
DAVITA - PALOS PARK DIALYSIS,142732,ORLAND PARK,36,1.50%,DAVITA
DAVITA - SPRINGFIELD SOUTH DIALYSIS,142733,SPRINGFIELD,53,0.50%,DAVITA
DAVITA - DANVILLE AT HOME,142734,DANVILLE,58,0.50%,DAVITA
FMC - RIVER FOREST DIALYSIS,142735,RIVER FOREST,76,0.00%,FRESENIUS MEDICAL CARE
DAVITA - BARRINGTON CREEK,142736,LAKE BARRINGTON,49,0.50%,DAVITA
ARA - MCHENRY DIALYSIS CENTER,142737,MCHENRY,65,0.00%,AMERICAN RENAL ASSOCIATES
USRC - STREAMWOOD DIALYSIS,142738,STREAMWOOD,38,1.50%,"US RENAL CARE, INC."
FMC - JOLIET,142739,JOLIET,51,0.50%,FRESENIUS MEDICAL CARE
DAVITA - MORRIS DIALYSIS,142740,MORRIS,76,0.00%,DAVITA
DAVITA - RENAL CARE CENTER NEW LENOX,142741,NEW LENOX,53,0.50%,DAVITA
DAVITA - WEST JOLIET,142742,JOLIET,62,0.00%,DAVITA
VILLA PARK HOME DIALYSIS,142743,VILLA PARK,30,1.50%,NOT A CHAIN
FMC - CHATHAM,142744,CHICAGO,47,1.00%,FRESENIUS MEDICAL CARE
HOME DIALYSIS SERVICES LLC,142745,HOMER GLEN,49,0.50%,NOT A CHAIN
GLEN DIALYSIS,142746,GLENVIEW,53,0.50%,NOT A CHAIN
DAVITA - DRIFTWOOD DIALYSIS,142747,FREEPORT,69,0.00%,DAVITA
DAVITA - CRIMSON RIDGE,142748,SYCAMORE,74,0.00%,DAVITA
USRC - BOLINGBROOK,142749,BOLINGBROOK,55,0.50%,"US RENAL CARE, INC."
"USRC - OAKBROOK, LLC",142750,DOWNERS GROVE,68,0.00%,"US RENAL CARE, INC."
"USRC ADVANCED HOME THERAPIES, LLC",142751,DOWNERS GROVE,50,0.50%,"US RENAL CARE, INC."
DIALYZE DIRECT IL - GLEN ELLYN,142752,GLEN ELLYN,24,2.00%,NOT A CHAIN
DAVITA - SHILOH DIALYSIS,142753,BELLEVILLE,44,1.00%,DAVITA
FMC - CICERO,142754,CICERO,73,0.00%,FRESENIUS MEDICAL CARE
USRC - VILLA PARK DIALYSIS,142755,VILLA PARK,73,0.00%,"US RENAL CARE, INC."
FMC - SOUTH DEERING DIALYSIS,142756,CHICAGO,81,0.00%,FRESENIUS MEDICAL CARE
DAVITA - SILVERBRIDGE HOME TRAINING,142757,ELGIN,59,0.00%,DAVITA
SAH DIALYSIS CLINIC @26TH ST,142758,CHICAGO,57,0.50%,NOT A CHAIN
IROQUOIS KIDNEY CENTER,142759,WATSEKA,50,0.50%,NOT A CHAIN
HOME DIALYSIS SERVICES - CRYSTAL LAKE,142760,CRYSTAL LAKE,33,1.50%,NOT A CHAIN
HOME DIALYSIS SEVICES HICKORY HILLS LLC,142761,HICKORY HILLS,15,2.00%,NOT A CHAIN
DAVITA - MOLINE HOME TRAINING,142762,MOLINE,94,0.00%,DAVITA
DAVITA - TIMBER CREEK,142763,DEKALB,78,0.00%,DAVITA
FMC - OAK FOREST,142764,OAK FOREST,61,0.00%,FRESENIUS MEDICAL CARE
FMC - NAPERBROOK,142765,NAPERVILLE,60,0.00%,FRESENIUS MEDICAL CARE
FMC - LOGAN SQUARE,142766,CHICAGO,70,0.00%,FRESENIUS MEDICAL CARE
DAVITA - TAZEWELL COUNTY DIALYSIS,142767,PEKIN,39,1.00%,DAVITA
DAVITA - LAWNDALE DIALYSIS,142768,CHICAGO,72,0.00%,DAVITA
HOME DIALYSIS SERVICES OLYMPIA FIELDS LLC,142769,OLYMPIA FIELDS,31,1.50%,NOT A CHAIN
NORTHWESTERN MEDICAL FACILITY FOUNDATION DIALYSIS CENTER,142770,CHICAGO,20,2.00%,"US RENAL CARE, INC."
FMC - NORTHFIELD,142771,WINNETKA,72,0.00%,FRESENIUS MEDICAL CARE
DAVITA - RED BUD DIALYSIS,142772,RED BUD,58,0.50%,DAVITA
AFFILIATED DIALYSIS OF JOLIET,142773,JOLIET,79,0.00%,NOT A CHAIN
FMC - DES PLAINES,142774,DES PLAINES,83,0.00%,FRESENIUS MEDICAL CARE
DAVITA - FLOSSMOOR HOME,142775,FLOSSMOOR,53,0.50%,DAVITA
JOLIET DIALYSIS HOLDINGS,142776,ROMEOVILLE,31,1.50%,OTHER
DAVITA - GARFIELD KIDNEY CENTER,142777,CHICAGO,61,0.00%,DAVITA
FMC - NORMAL DIALYSIS,142778,NORMAL,79,0.00%,FRESENIUS MEDICAL CARE
NX STAGE KIDNEY CARE,142779,OAK BROOK,51,0.50%,NOT A CHAIN
FMC - WEST FRANKFORT HOME THERAPIES,142780,WEST FRANKFORT,94,0.00%,FRESENIUS MEDICAL CARE
FMC - AVANTUS HOME THERAPY,142781,URBANA,70,0.00%,FRESENIUS MEDICAL CARE
FMC - HIGHLAND,142782,HIGHLAND PARK,73,0.00%,FRESENIUS MEDICAL CARE
DAVITA - WEST SIDE,142783,CHICAGO,59,0.00%,DAVITA
DAVITA - NEW LENOX HOME,142785,NEW LENOX,64,0.00%,DAVITA
USRC - VILLA PARK HOME THERAPIES,142787,VILLA PARK,59,0.00%,"US RENAL CARE, INC."
HOME DIALYSIS SERVICES PEORIA,142788,PEORIA,58,0.50%,NOT A CHAIN
FMC - WATERLOO DIALYSIS,142789,WATERLOO,81,0.00%,FRESENIUS MEDICAL CARE
FMC - MAPLE CITY,142790,MONMOUTH,76,0.00%,FRESENIUS MEDICAL CARE
HOME HEMODIALYSIS NETWORK,142791,HOMER GLEN,40,1.00%,NOT A CHAIN
HOME DIALYSIS SERVICES ROCKFORD LLC,142792,ROCKFORD,48,1.00%,NOT A CHAIN
DAVITA - CHICAGO RIDGE DIALYSIS,142793,CHICAGO RIDGE,44,1.00%,DAVITA
MEDICAL DISTRICT HOME DIALYSIS LLC,142794,CHICAGO,45,1.00%,NOT A CHAIN
DAVITA - BELVIDERE DIALYSIS,142795,BELVIDERE,80,0.00%,DAVITA
RENAL CARE PROVIDERS LLC,142796,CHICAGO,25,2.00%,NOT A CHAIN
NOCTURNAL DIALYSIS SPA,142797,VILLA PARK,0,2.00%,NOT A CHAIN
FMC - LEMONT,142798,LEMONT,69,0.00%,FRESENIUS MEDICAL CARE
"HOME DIALYSIS SERVICES ELK GROVE, LLC",142799,SCHAUMBURG,62,0.00%,NOT A CHAIN
"HOME DIALYSIS SERVICES NORTH CHICAGO, LLC",142800,RIVER FOREST,50,0.50%,NOT A CHAIN
"HOME DIALYSIS SERVICES FRANKFORT, LLC",142801,FRANKFORT,48,1.00%,NOT A CHAIN
FMC - SUMMIT,142802,SUMMIT,63,0.00%,FRESENIUS MEDICAL CARE
"RENVIVA, LLC",142803,ROCKFORD,29,1.50%,NOT A CHAIN
TOTAL RENAL CARE INC.,142805,MATTESON,61,0.00%,DAVITA
DAVITA - MACHESNEY PARK DIALYSIS,142806,MACHESNEY PARK,83,0.00%,DAVITA
DAVITA - ALSIP HOME TRAINING,142808,ALSIP,64,0.00%,DAVITA
FMC - ABERDEEN,142809,CHICAGO,56,0.50%,FRESENIUS MEDICAL CARE
DAVITA - TINLEY PARK,142810,TINLEY PARK,61,0.00%,DAVITA
DAVITA - NORTHSIDE HOME TRAINING,142811,CHICAGO,72,0.00%,DAVITA
DAVITA - VERMILION COUNTY DIALYSIS,142812,DANVILLE,74,0.00%,DAVITA
TOTAL RENAL CARE - MONTGOMERY COUNTY DIALYSIS,142813,HILLSBORO,73,0.00%,DAVITA
AFFILIATED DIALYSIS OF MORRIS,142814,MORRIS,40,1.00%,NOT A CHAIN
"FRESENIUS MEDICAL CARE CHIGACOGLAND, LLC",142815,CHICAGO,76,0.00%,FRESENIUS MEDICAL CARE
SHIFA DIALYSIS,142816,CHICAGO,12,2.00%,NOT A CHAIN
DAVITA - CALUMET CITY DIALYSIS,142817,CALUMET CITY,57,0.50%,DAVITA
"TOTAL RENAL CARE, INC.",142818,SHILOH,35,1.50%,DAVITA
FRESENIUS MEDICAL CARE KOKE MILL LLC,142819,SPRINGFIELD,64,0.00%,FRESENIUS MEDICAL CARE
ANGEL CARE CENTER LLC,142820,PINCKNEYVILLE,22,2.00%,NOT A CHAIN
FMC - HUMBOLDT PARK,142821,CHICAGO,61,0.00%,FRESENIUS MEDICAL CARE
DAVITA - COLLINSVILLE,142822,COLLINSVILLE,72,0.00%,DAVITA
FRESENIUS KIDNEY CARE CHICAGOLAND LLC,142823,EVERGREEN PARK,40,1.00%,FRESENIUS MEDICAL CARE
HOME DIALYSIS SERVICES - FOX VALLEY LLC,142824,ELGIN,34,1.50%,NOT A CHAIN
DAVITA - FOREST CITY DIALYSIS,142825,ROCKFORD,65,0.00%,DAVITA
DCC - OAK LAWN,142826,OAK LAWN,9,2.00%,NOT A CHAIN
FMC - BEVERLY RIDGE,142827,CHICAGO,45,1.00%,FRESENIUS MEDICAL CARE
DAVITA - HUNTLEY DIALYSIS,142828,HUNTLEY,68,0.00%,DAVITA
DCC - OLYMPIA FIELDS,142829,OLYMPIA FIELDS,16,2.00%,NOT A CHAIN
USRC - HICKORY HILLS DIALYSIS,142830,HICKORY HILLS,88,0.00%,NOT A CHAIN
DAVITA - PARK MANOR DIALYSIS,142831,CHICAGO,59,0.00%,NOT A CHAIN
FKC - CHICAGO HEIGHTS,142832,CHICAGO HEIGHTS,41,1.00%,FRESENIUS MEDICAL CARE
USRC - WEST CHICAGO DIALYSIS,142834,CHICAGO,72,0.00%,NOT A CHAIN
WASHINGTON HEIGHTS DIALYSIS,142835,CHICAGO,34,1.50%,NOT A CHAIN
FMC - SCHAUMBURG,142836,SCHAUMBURG,80,0.00%,FRESENIUS MEDICAL CARE
FKC - EAST AURORA,142837,AURORA,89,0.00%,FRESENIUS MEDICAL CARE
FKC - BELLEVILLE,142839,BELLEVILLE,37,1.50%,FRESENIUS MEDICAL CARE
DAVITA - IRVING PARK DIALYSIS,142840,CHICAGO,69,0.00%,DAVITA
DAVITA - KANKAKEE RIVER DIALYSIS,142850,KANKAKEE,41,1.00%,NOT A CHAIN
FMC - INDIANAPOLIS,152500,INDIANAPOLIS,44,1.00%,FRESENIUS MEDICAL CARE
FMC - GARY DIALYSIS,152501,GARY,51,0.50%,FRESENIUS MEDICAL CARE
FMC - INDIANAPOLIS-EAST,152502,INDIANAPOLIS,42,1.00%,FRESENIUS MEDICAL CARE
FMC - OHIO VALLEY DIALYSIS CENTER,152503,EVANSVILLE,40,1.00%,FRESENIUS MEDICAL CARE
FMC - SOUTHERN INDIANA,152504,CLARKSVILLE,58,0.50%,FRESENIUS MEDICAL CARE
DAVITA - BATESVILLE DIALYSIS,152507,BATESVILLE,61,0.00%,DAVITA
FMC - RICHMOND,152509,RICHMOND,55,0.50%,FRESENIUS MEDICAL CARE
FMC - DIALYSIS INSTITUTE OF ANDERSON,152510,ANDERSON,57,0.50%,FRESENIUS MEDICAL CARE
"DAVITA - LAWRENCEBURG DIALYSIS,LLC",152511,GREENDALE,64,0.00%,DAVITA
DAVITA - MARION COUNTY,152512,INDIANAPOLIS,48,1.00%,DAVITA
FMC - NORTHEAST INDIANA KIDNEY CTR - FORT WAYNE,152515,FORT WAYNE,59,0.00%,FRESENIUS MEDICAL CARE
FMC - GRANT COUNTY DIALYSIS,152516,MARION,53,0.50%,FRESENIUS MEDICAL CARE
FMC - CANAL DIALYSIS,152517,NEW HAVEN,73,0.00%,FRESENIUS MEDICAL CARE
FMC - NORTHEAST INDIANA KIDNEY CENTER-WARSAW,152518,WARSAW,44,1.00%,FRESENIUS MEDICAL CARE
FMC - NEPHROLOGY  - MISHAWAKA,152520,MISHAWAKA,62,0.00%,FRESENIUS MEDICAL CARE
DAVITA - GARY,152521,GARY,59,0.00%,DAVITA
DAVITA - HAMMOND DIALYSIS,152522,HAMMOND,45,1.00%,DAVITA
DAVITA - JASPER DIALYSIS,152523,JASPER,68,0.00%,DAVITA
US RENAL CARE- NW INDIANAPOLIS RENAL CENTER,152524,INDIANAPOLIS,85,0.00%,"US RENAL CARE, INC."
FMC - INDIANAPOLIS-NORTH,152525,INDIANAPOLIS,39,1.00%,FRESENIUS MEDICAL CARE
FMC - KOKOMO,152526,KOKOMO,52,0.50%,FRESENIUS MEDICAL CARE
DAVITA - VALPARAISO,152527,VALPARAISO,72,0.00%,DAVITA
FMC - NEPHROLOGY - ELKHART,152530,ELKHART,66,0.00%,FRESENIUS MEDICAL CARE
FMC - INDIANAPOLIS-WEST,152531,INDIANAPOLIS,57,0.50%,FRESENIUS MEDICAL CARE
BIOMEDICAL APPLICATION OF INDIANA,152532,TERRE HAUTE,43,1.00%,FRESENIUS MEDICAL CARE
FMC - INDIANAPOLIS-SOUTH,152534,INDIANAPOLIS,48,1.00%,FRESENIUS MEDICAL CARE
FMC - NEPHROLOGY - LA PORTE,152535,LA PORTE,90,0.00%,FRESENIUS MEDICAL CARE
DAVITA - NORTH EVANSVILLE DIALYSIS,152536,EVANSVILLE,57,0.50%,DAVITA
FMC - CROWN POINT,152537,CROWN POINT,69,0.00%,FRESENIUS MEDICAL CARE
FMC - TRI-COUNTIES DIALYSIS CENTER,152538,DECATUR,50,0.50%,FRESENIUS MEDICAL CARE
DAVITA- QUAD COUNTIES DIALYSIS CENTER,152539,AUBURN,81,0.00%,DAVITA
FMC - MERRILLVILLE DIALYSIS CENTER,152541,MERRILLVILLE,53,0.50%,FRESENIUS MEDICAL CARE
FMC - NEPHROLOGY  - BLACKTHORN,152542,SOUTH BEND,65,0.00%,FRESENIUS MEDICAL CARE
FMC - NORTH HAMMOND,152543,HAMMOND,76,0.00%,FRESENIUS MEDICAL CARE
DAVITA -  BLUE RIVER VALLEY RENAL CENTER,152545,SHELBYVILLE,66,0.00%,DAVITA
DAVITA - MICHIGAN CITY,152546,MICHIGAN CITY,69,0.00%,DAVITA
DCI - INDIANAPOLIS,152547,INDIANAPOLIS,42,1.00%,"DIALYSIS CLINIC, INC."
DAVITA - MUNSTER,152549,MUNSTER,63,0.00%,DAVITA
FMC - DEKALB COUNTY DIALYSIS,152550,AUBURN,46,1.00%,FRESENIUS MEDICAL CARE
FMC - SHELBYVILLE,152551,SHELBYVILLE,70,0.00%,FRESENIUS MEDICAL CARE
FMC - HENDRICKS COUNTY,152552,DANVILLE,59,0.00%,FRESENIUS MEDICAL CARE
FMC - MORGAN COUNTY,152553,MARTINSVILLE,80,0.00%,FRESENIUS MEDICAL CARE
FMC - FLOYD COUNTY,152554,NEW ALBANY,77,0.00%,FRESENIUS MEDICAL CARE
FMC - NOBLESVILLE DIALYSIS,152556,NOBLESVILLE,75,0.00%,FRESENIUS MEDICAL CARE
FMC - COLUMBUS BARTHOLOMEW,152558,COLUMBUS,56,0.50%,FRESENIUS MEDICAL CARE
FMC-INDIANAPOLIS MIDTOWN,152560,INDIANAPOLIS,47,1.00%,FRESENIUS MEDICAL CARE
DAVITA - EAST CHICAGO,152561,EAST CHICAGO,56,0.50%,DAVITA
FMC - NEOMEDICA - MUNSTER,152562,MUNSTER,57,0.50%,FRESENIUS MEDICAL CARE
FMC - EAST CHICAGO DIALYSIS CENTER,152564,EAST CHICAGO,60,0.00%,FRESENIUS MEDICAL CARE
FMC - PORTAGE DIALYSIS CENTER,152565,PORTAGE,78,0.00%,FRESENIUS MEDICAL CARE
FMC - GREENFIELD,152566,GREENFIELD,49,0.50%,FRESENIUS MEDICAL CARE
FMC - SEYMOUR,152567,SEYMOUR,89,0.00%,FRESENIUS MEDICAL CARE
DAVITA - DAVIESS COUNTY DIALYSIS,152568,WASHINGTON,60,0.00%,DAVITA
DAVITA - EAST EVANSVILLE DIALYSIS,152569,EVANSVILLE,41,1.00%,DAVITA
FMC - TERRE HAUTE NORTH,152571,TERRE HAUTE,51,0.50%,FRESENIUS MEDICAL CARE
US RENAL CARE-GREENWOOD RENAL CENTER,152572,GREENWOOD,74,0.00%,"US RENAL CARE, INC."
FMC - DIALYSIS SERVICES OF SALEM,152573,SALEM,86,0.00%,FRESENIUS MEDICAL CARE
DAVITA - TELL CITY DIALYSIS CENTER,152574,TELL CITY,77,0.00%,DAVITA
FMC - DUPONT DIALYSIS,152576,FORT WAYNE,52,0.50%,FRESENIUS MEDICAL CARE
FMC -  LINTON,152577,LINTON,69,0.00%,FRESENIUS MEDICAL CARE
FMC - BLOOMINGTON MONROE,152579,BLOOMINGTON,61,0.00%,FRESENIUS MEDICAL CARE
DAVITA - MERRILLVILLE DIALYSIS,152581,MERRILLVILLE,50,0.50%,DAVITA
FMC -  SPENCER,152582,SPENCER,80,0.00%,FRESENIUS MEDICAL CARE
FMC - HUNTINGTON DIALYSIS,152583,HUNTINGTON,46,1.00%,FRESENIUS MEDICAL CARE
FMC- LOGANSPORT DIALYSIS,152584,LOGANSPORT,54,0.50%,FRESENIUS MEDICAL CARE
FMC - SHADELAND STATION,152585,INDIANAPOLIS,54,0.50%,FRESENIUS MEDICAL CARE
FMC - CONNERSVILLE,152586,CONNERSVILLE,53,0.50%,FRESENIUS MEDICAL CARE
FMC - IRVINGTON,152588,INDIANAPOLIS,47,1.00%,FRESENIUS MEDICAL CARE
DAVITA - NEW ALBANY DIALYSIS,152589,NEW ALBANY,58,0.50%,DAVITA
FMC - MADISON,152590,MADISON,86,0.00%,FRESENIUS MEDICAL CARE
FMC - TERRE HAUTE SOUTH,152591,TERRE HAUTE,64,0.00%,FRESENIUS MEDICAL CARE
DAVITA - VINCENNES DIALYSIS,152592,VINCENNES,72,0.00%,DAVITA
FMC - CIRCLE CITY,152593,INDIANAPOLIS,56,0.50%,FRESENIUS MEDICAL CARE
FMC - LAWRENCE COUNTY,152594,BEDFORD,72,0.00%,FRESENIUS MEDICAL CARE
DSI - COFFEE CREEK DIALYSIS,152595,CHESTERTON,70,0.00%,DIVERSIFIED SPECIALTY INSTITUTES (DSI)
DAVITA - WESTVIEW DIALYSIS,152596,INDIANAPOLIS,39,1.00%,DAVITA
WELLBOUND OF LAFAYETTE,152597,LAFAYETTE,64,0.00%,NOT A CHAIN
FMC - LIBERTY DIALYSIS - CRAWFORDSVILLE,152598,CRAWFORDSVILLE,78,0.00%,FRESENIUS MEDICAL CARE
DSI - DIALYSIS - LA PORTE,152599,LA PORTE,69,0.00%,DIVERSIFIED SPECIALTY INSTITUTES (DSI)
FMC - LIBERTY DIALYSIS - FRANKFORT,152600,FRANKFORT,49,0.50%,FRESENIUS MEDICAL CARE
FMC - LIBERTY DIALYSIS - LAFAYETTE II,152601,LAFAYETTE,58,0.50%,FRESENIUS MEDICAL CARE
FMC - LIBERTY DIALYSIS - MONTICELLO,152602,MONTICELLO,79,0.00%,FRESENIUS MEDICAL CARE
DAVITA - DIALYSIS - FRANKLIN,152603,FRANKLIN,88,0.00%,DAVITA
US RENAL CARE-DALEVILLE,152604,ANDERSON,63,0.00%,"US RENAL CARE, INC."
FMC NEW CASTLE,152605,NEW CASTLE,49,0.50%,FRESENIUS MEDICAL CARE
FMC - WINCHESTER IN,152606,WINCHESTER,55,0.50%,FRESENIUS MEDICAL CARE
DSI - NORTH MUNCIE,152607,MUNCIE,55,0.50%,DIVERSIFIED SPECIALTY INSTITUTES (DSI)
DSI - KNOX DIALYSIS,152608,KNOX,83,0.00%,DIVERSIFIED SPECIALTY INSTITUTES (DSI)
FMC - CARMEL,152609,CARMEL,53,0.50%,FRESENIUS MEDICAL CARE
"FMC - LIBERTY DIALYSIS - LEBANON, LLC",152610,LEBANON,35,1.50%,FRESENIUS MEDICAL CARE
FMC - NEPHROLOGY - MARSHALL COUNTY,152611,PLYMOUTH,70,0.00%,FRESENIUS MEDICAL CARE
FMC - NEPHROLOGY - HOME,152612,MISHAWAKA,50,0.50%,FRESENIUS MEDICAL CARE
DSI - NORTH GRANVILLE DIALYSIS CLINIC,152614,MUNCIE,77,0.00%,DIVERSIFIED SPECIALTY INSTITUTES (DSI)
DAVITA GREENSBURG DIALYSIS,152615,GREENSBURG,60,0.00%,DAVITA
DAVITA - INDY SOUTH DIALYSIS,152616,GREENWOOD,59,0.00%,DAVITA
US RENAL CARE KOKOMO DIALYSIS,152617,KOKOMO,56,0.50%,DIVERSIFIED SPECIALTY INSTITUTES (DSI)
FMC - GREENCASTLE,152618,GREENCASTLE,65,0.00%,FRESENIUS MEDICAL CARE
DAVITA - CORYDON DIALYSIS CENTER,152619,CORYDON,56,0.50%,DAVITA
DAVITA - CARMEL DIALYSIS,152620,CARMEL,62,0.00%,DAVITA
FMC - FRANKLIN,152621,FRANKLIN,64,0.00%,FRESENIUS MEDICAL CARE
FMC - CORYDON,152622,CORYDON,53,0.50%,FRESENIUS MEDICAL CARE
FMC - LIBERTY DIALYSIS - HAMMOND,152623,HAMMOND,61,0.00%,FRESENIUS MEDICAL CARE
FMC - TREE CITY DIALYSIS,152624,GREENSBURG,84,0.00%,FRESENIUS MEDICAL CARE
DAVITA - KENDALLVILLE RENAL CARE CENTER,152625,KENDALLVILLE,74,0.00%,DAVITA
FMC - ELWOOD,152626,ELWOOD,77,0.00%,FRESENIUS MEDICAL CARE
DAVITA - ST. JOHN DIALYSIS,152627,SAINT JOHN,54,0.50%,DAVITA
DAVITA - CHESTERTON,152628,PORTER,77,0.00%,DAVITA
DAVITA - PRINCETON DIALYSIS,152629,PRINCETON,70,0.00%,DAVITA
DAVITA - PORTAGE,152630,PORTAGE,43,1.00%,DAVITA
FMC - HOBART,152631,HOBART,84,0.00%,FRESENIUS MEDICAL CARE
FMC - DYER,152632,DYER,61,0.00%,FRESENIUS MEDICAL CARE
FMC - MUNCIE DIALYSIS,152634,MUNCIE,63,0.00%,FRESENIUS MEDICAL CARE
US RENAL CARE LAFAYETTE DIALYSIS,152635,LAFAYETTE,68,0.00%,DIVERSIFIED SPECIALTY INSTITUTES (DSI)
DAVITA - NORTH VERNON DIALYSIS CENTER,152636,NORTH VERNON,89,0.00%,DAVITA
DAVITA - PLAINFIELD,152637,PLAINFIELD,68,0.00%,DAVITA
FMC - PERU DIALYSIS,152638,PERU,48,1.00%,FRESENIUS MEDICAL CARE
FMC - WELLS COUNTY,152640,BLUFFTON,52,0.50%,FRESENIUS MEDICAL CARE
FMC - SCOTT COUNTY DIALYSIS,152641,SCOTTSBURG,89,0.00%,FRESENIUS MEDICAL CARE
DAVITA - HOOSIER HILLS DIALYSIS,152642,BLOOMINGTON,63,0.00%,DAVITA
FMC -  NEPHROLOGY - GOSHEN,152643,GOSHEN,82,0.00%,FRESENIUS MEDICAL CARE
DAVITA - NEWBURGH DIALYSIS,152644,NEWBURGH,79,0.00%,DAVITA
DAVITA - AVON DIALYSIS,152645,AVON,65,0.00%,DAVITA
DAVITA - SCOTTSBURG DIALYSIS,152646,SCOTTSBURG,42,1.00%,DAVITA
DAVITA - FORT WAYNE SOUTH,152647,FORT WAYNE,48,1.00%,DAVITA
DAVITA - FORT WAYNE WEST,152648,FORT WAYNE,53,0.50%,DAVITA
DAVITA - APPLESEED,152649,FORT WAYNE,50,0.50%,DAVITA
DAVITA - CARMEL HEALTH AND LIVING,152650,CARMEL,75,0.00%,DAVITA
DAVITA - JEFFERSONVILLE DIALYSIS,152651,JEFFERSONVILLE,53,0.50%,DAVITA
DAVITA - PAOLI DIALYSIS,152652,PAOLI,62,0.00%,DAVITA
DAVITA - SUMMIT CITY DIALYSIS,152653,FORT WAYNE,54,0.50%,DAVITA
FMC - FISHERS DIALYSIS,152654,FISHERS,79,0.00%,FRESENIUS MEDICAL CARE
DAVITA - MISHAWAKA DIALYSIS,152655,MISHAWAKA,60,0.00%,DAVITA
DAVITA - BROWNSBURG CLINIC,152656,BROWNSBURG,71,0.00%,DAVITA
INDIANA DIALYSIS COMPANY,152657,INDIANAPOLIS,39,1.00%,NOT A CHAIN
DAVITA - EAGLE HIGHLANDS,152658,INDIANAPOLIS,48,1.00%,DAVITA
DAVITA - DIALYSIS SOUTH BEND WEST,152659,SOUTH BEND,68,0.00%,DAVITA
FMC - SOUTH BEND DIALYSIS,152660,SOUTH BEND,86,0.00%,FRESENIUS MEDICAL CARE
DAVITA - INDY EAST,152661,INDIANAPOLIS,36,1.50%,DAVITA
DAVITA - VINCENNES HOME DIALYSIS,152662,VINCENNES,96,0.00%,DAVITA
DAVITA - ELKHART,152664,ELKHART,70,0.00%,DAVITA
DAVITA - MUNCIE,152665,MUNCIE,75,0.00%,DAVITA
